Temperature,Humidity,Light,Gas,Weather_Current,Weather_1H_Ahead
28.96,83.66,6791.72,110.65,Mendung,Hujan
25.54,89.79,824.11,529.6,Hujan,Hujan
25.21,99.18,1995.34,783.39,Hujan,Mendung
30.98,51.31,70234.78,109.46,Cerah,Cerah
34.79,52.31,47712.76,535.62,Cerah,Cerah
35.3,54.95,97184.31,331.53,Cerah,Cerah
28.88,88.49,9417.43,355.5,Mendung,Mendung
22.7,85.97,1197.56,350.47,Hujan,Mendung
31.36,40.38,65105.19,317.3,Cerah,Cerah
24.94,90.57,1468.19,573.19,Hujan,Hujan
29.41,66.1,15641.23,701.77,Berawan,Cerah
25.68,85.63,851.61,797.77,Hujan,Hujan
23.95,94.78,1906.01,520.46,Hujan,Hujan
28.23,86.02,8170.51,496.93,Mendung,Mendung
22.31,94.06,411.47,615.17,Hujan,Mendung
23.0,90.97,913.42,716.17,Hujan,Hujan
35.69,42.85,62928.37,488.31,Cerah,Cerah
22.13,93.85,1095.89,298.1,Hujan,Berawan
27.72,84.4,1764.73,174.56,Mendung,Berawan
28.05,81.65,2342.9,686.35,Mendung,Hujan
30.89,56.59,90191.21,670.16,Cerah,Cerah
30.66,56.24,89764.81,661.36,Cerah,Berawan
25.46,93.37,1125.82,123.93,Hujan,Hujan
22.26,93.45,1054.64,443.86,Hujan,Hujan
24.18,92.98,244.16,588.75,Hujan,Hujan
34.3,50.76,70522.36,270.19,Cerah,Berawan
25.47,88.62,463.14,569.21,Hujan,Hujan
32.76,46.13,89342.87,139.89,Cerah,Cerah
28.43,67.62,27050.42,723.22,Berawan,Berawan
27.19,84.19,1450.32,148.58,Mendung,Hujan
23.95,98.91,1089.88,441.32,Hujan,Hujan
27.42,78.94,5772.64,480.73,Mendung,Berawan
30.18,61.77,24203.05,529.22,Berawan,Mendung
28.32,87.06,2977.75,145.34,Mendung,Mendung
29.02,73.98,29063.72,209.13,Berawan,Berawan
25.36,80.3,1574.88,349.49,Mendung,Mendung
33.51,44.26,45431.19,589.72,Cerah,Berawan
24.11,96.01,204.71,721.51,Hujan,Hujan
25.24,93.79,1597.27,611.78,Hujan,Mendung
30.02,57.37,45071.02,518.09,Cerah,Mendung
34.37,55.22,86246.36,564.41,Cerah,Cerah
35.03,58.89,80994.88,448.02,Cerah,Cerah
28.11,80.01,4217.62,294.2,Mendung,Mendung
31.74,52.27,61228.17,333.53,Cerah,Cerah
24.7,98.62,1486.56,614.82,Hujan,Berawan
27.09,70.15,8470.59,592.89,Mendung,Mendung
32.39,48.67,84642.56,275.6,Cerah,Cerah
26.48,72.71,5665.6,178.83,Mendung,Hujan
31.97,44.18,45081.3,426.69,Cerah,Cerah
27.83,82.78,8910.54,773.35,Mendung,Hujan
31.33,66.44,27516.69,246.84,Berawan,Cerah
35.31,53.52,60454.98,480.47,Cerah,Berawan
31.66,54.23,76375.96,692.03,Cerah,Cerah
34.81,59.19,69271.24,176.82,Cerah,Cerah
25.66,85.44,1623.11,373.36,Hujan,Hujan
26.18,75.98,1963.51,408.04,Mendung,Mendung
26.35,85.87,2909.61,616.9,Mendung,Hujan
34.27,42.31,74214.37,497.85,Cerah,Cerah
35.26,47.91,67978.18,702.46,Cerah,Cerah
28.91,69.19,19027.92,744.1,Berawan,Berawan
35.95,41.98,73316.77,471.42,Cerah,Cerah
29.89,65.71,15353.38,318.59,Berawan,Cerah
30.12,56.5,48563.31,316.68,Cerah,Cerah
26.34,74.16,8202.92,537.16,Mendung,Mendung
28.01,88.27,8496.12,277.71,Mendung,Mendung
22.06,93.88,124.05,100.84,Hujan,Hujan
25.36,72.64,5459.58,174.63,Mendung,Mendung
31.98,72.15,11914.93,767.29,Berawan,Berawan
31.9,56.01,82920.82,653.64,Cerah,Mendung
23.23,98.58,1751.75,266.39,Hujan,Berawan
24.58,85.35,916.28,295.26,Hujan,Mendung
27.53,84.45,6377.35,550.11,Mendung,Mendung
28.05,74.85,30143.65,321.85,Berawan,Mendung
22.99,88.47,1904.86,119.38,Hujan,Mendung
27.17,79.47,9591.56,209.1,Mendung,Berawan
22.03,90.08,961.03,496.45,Hujan,Hujan
26.22,76.3,8829.56,491.44,Mendung,Hujan
30.34,64.85,15769.47,424.76,Berawan,Cerah
31.65,49.47,86517.88,661.16,Cerah,Cerah
24.15,87.3,1060.61,389.24,Hujan,Hujan
28.75,83.07,9734.29,506.08,Mendung,Hujan
35.32,59.78,41216.28,375.27,Cerah,Berawan
31.44,41.9,44157.09,453.23,Cerah,Cerah
23.64,89.29,740.05,344.11,Hujan,Mendung
28.22,78.53,9994.18,405.08,Mendung,Berawan
25.96,92.85,488.96,334.37,Hujan,Mendung
25.11,88.07,1478.69,533.81,Hujan,Hujan
23.38,90.57,1402.65,324.3,Hujan,Hujan
33.71,45.51,43058.32,738.5,Cerah,Berawan
22.61,96.47,1475.59,495.51,Hujan,Mendung
26.25,85.23,8492.38,782.71,Mendung,Mendung
28.3,59.07,12786.99,144.22,Berawan,Cerah
33.78,41.57,50522.07,281.18,Cerah,Berawan
29.89,71.93,20063.92,467.81,Berawan,Berawan
30.62,71.89,17600.02,296.2,Berawan,Mendung
31.51,45.78,62038.57,415.24,Cerah,Berawan
31.68,68.71,32332.44,684.06,Berawan,Berawan
27.52,70.5,7486.53,459.82,Mendung,Mendung
33.15,42.29,99502.85,311.73,Cerah,Cerah
30.89,56.5,45648.91,463.71,Cerah,Cerah
27.92,74.43,9129.01,443.83,Mendung,Mendung
30.65,61.55,21278.83,727.94,Berawan,Cerah
31.93,41.55,67364.06,672.87,Cerah,Cerah
27.46,88.21,5588.69,450.89,Mendung,Berawan
34.05,40.14,77672.31,667.21,Cerah,Cerah
26.29,86.86,2622.66,144.03,Mendung,Mendung
28.93,74.11,1925.33,318.8,Mendung,Hujan
28.98,70.42,34131.09,274.55,Berawan,Cerah
27.67,89.44,8492.3,289.58,Mendung,Mendung
23.44,92.17,775.04,577.76,Hujan,Hujan
27.59,75.35,1136.0,775.51,Mendung,Mendung
35.1,59.92,70489.44,341.64,Cerah,Cerah
29.8,70.13,33824.04,446.22,Berawan,Mendung
34.99,40.31,56375.03,101.72,Cerah,Cerah
27.32,80.44,1079.4,440.0,Mendung,Hujan
31.94,71.28,14939.64,103.92,Berawan,Cerah
25.06,99.9,1540.77,655.54,Hujan,Hujan
31.31,56.96,31118.26,336.56,Berawan,Berawan
31.95,55.8,36010.94,505.07,Berawan,Berawan
26.32,78.81,8712.55,578.95,Mendung,Hujan
24.66,88.94,486.28,468.17,Hujan,Berawan
22.64,94.07,704.41,706.51,Hujan,Hujan
30.22,46.43,85813.07,772.14,Cerah,Cerah
25.46,81.76,7002.69,240.5,Mendung,Hujan
22.18,90.62,1289.13,452.2,Hujan,Hujan
25.2,89.16,1680.55,166.87,Hujan,Mendung
29.3,70.31,10490.4,402.3,Berawan,Berawan
31.79,43.18,42841.0,237.19,Cerah,Cerah
34.58,54.94,70583.36,732.04,Cerah,Mendung
22.79,94.31,1609.89,722.71,Hujan,Mendung
25.3,82.35,9567.71,317.49,Mendung,Mendung
27.89,84.45,8335.67,697.49,Mendung,Berawan
31.33,64.18,27808.2,287.14,Berawan,Berawan
31.7,67.88,35318.53,488.71,Berawan,Berawan
31.71,59.01,17913.53,590.42,Berawan,Hujan
32.6,55.99,84368.48,398.42,Cerah,Cerah
26.75,88.08,4134.3,459.79,Mendung,Hujan
31.44,57.35,59625.98,330.34,Cerah,Cerah
31.04,65.01,26270.91,766.03,Berawan,Mendung
35.52,43.52,52837.42,109.12,Cerah,Cerah
30.8,57.6,70642.8,157.61,Cerah,Cerah
25.33,88.95,498.77,748.42,Hujan,Hujan
29.39,70.49,17873.69,330.01,Berawan,Cerah
29.84,74.78,24496.96,790.83,Berawan,Berawan
27.04,88.07,1736.41,568.03,Mendung,Cerah
29.99,58.57,13244.65,689.47,Berawan,Berawan
23.86,91.75,1209.13,297.1,Hujan,Berawan
30.69,57.39,75966.03,694.79,Cerah,Berawan
30.31,60.49,34722.83,103.73,Berawan,Berawan
33.41,49.03,66097.55,178.38,Cerah,Cerah
24.76,94.12,1122.46,428.17,Hujan,Mendung
26.25,78.55,6806.97,621.65,Mendung,Berawan
34.2,51.72,75188.75,588.37,Cerah,Mendung
25.99,96.29,1443.26,645.0,Hujan,Mendung
25.02,86.92,1669.53,647.42,Hujan,Hujan
26.03,83.28,4774.49,775.79,Mendung,Mendung
25.07,86.71,1323.43,684.03,Hujan,Hujan
24.08,91.71,1159.86,216.22,Hujan,Hujan
25.54,86.3,1122.89,739.26,Hujan,Mendung
27.94,81.02,9213.66,510.99,Mendung,Mendung
30.43,69.93,32492.26,237.7,Berawan,Cerah
22.51,93.68,1417.5,590.43,Hujan,Hujan
28.51,75.96,1106.84,310.46,Mendung,Mendung
25.51,89.96,3327.26,606.94,Mendung,Hujan
33.08,43.28,67808.66,523.96,Cerah,Cerah
27.16,74.46,4664.27,791.6,Mendung,Hujan
22.3,89.33,1292.13,496.33,Hujan,Hujan
31.87,54.5,87778.04,683.06,Cerah,Mendung
23.83,95.3,1509.74,645.21,Hujan,Mendung
25.69,82.08,5767.52,787.73,Mendung,Mendung
29.75,60.59,27455.96,138.74,Berawan,Cerah
25.28,96.97,292.14,659.78,Hujan,Mendung
23.87,88.14,1857.66,137.78,Hujan,Hujan
24.01,89.08,237.4,438.0,Hujan,Hujan
31.42,41.03,99774.53,615.59,Cerah,Cerah
25.31,73.44,1533.01,173.78,Mendung,Berawan
28.7,87.36,5497.15,142.94,Mendung,Mendung
32.37,45.1,49410.02,584.8,Cerah,Cerah
25.47,75.99,9637.97,543.15,Mendung,Mendung
31.53,40.62,60178.11,500.81,Cerah,Cerah
30.08,48.78,89238.89,646.04,Cerah,Cerah
28.5,80.3,9757.99,521.35,Mendung,Berawan
30.24,72.06,25959.83,777.74,Berawan,Berawan
25.23,92.37,682.99,171.35,Hujan,Berawan
34.27,56.53,95599.81,388.48,Cerah,Berawan
28.96,56.88,15485.98,754.23,Berawan,Berawan
25.85,88.92,8031.66,179.43,Mendung,Hujan
23.9,85.11,149.04,487.3,Hujan,Hujan
25.15,94.37,1039.51,785.69,Hujan,Mendung
32.08,57.57,41308.42,301.74,Cerah,Cerah
23.62,92.74,1203.23,755.16,Hujan,Hujan
28.56,83.51,3247.12,501.51,Mendung,Hujan
28.89,61.55,16542.3,373.94,Berawan,Berawan
26.11,75.11,5177.28,613.08,Mendung,Berawan
