Temperature,Humidity,Light,Gas,Weather_Current,Weather_1H_Ahead
28.19,73.67,8017.22,517.8,Mendung,Mendung
25.23,87.32,6410.04,595.65,Mendung,Cerah
30.89,73.77,10023.36,794.55,Berawan,Berawan
30.1,63.64,18736.87,528.3,Berawan,Cerah
25.9,88.49,272.15,532.87,Hujan,Mendung
24.37,85.7,1254.34,219.37,Hujan,Berawan
25.77,93.45,832.29,111.18,Hujan,Mendung
23.76,86.83,1040.84,124.07,Hujan,Hujan
22.73,96.33,907.8,245.56,Hujan,Hujan
35.82,55.5,96369.94,726.38,Cerah,Cerah
23.31,93.56,1089.59,772.82,Hujan,Hujan
31.63,56.57,61405.2,296.65,Cerah,Cerah
31.78,43.31,40938.18,396.38,Cerah,Cerah
22.02,97.23,1443.03,610.31,Hujan,Hujan
35.56,53.02,94897.58,695.03,Cerah,Cerah
30.38,46.22,59511.0,610.72,Cerah,Cerah
27.24,77.66,9745.41,694.24,Mendung,Mendung
28.08,79.88,5704.6,399.28,Mendung,Cerah
31.21,57.92,68522.21,494.29,Cerah,Cerah
31.5,48.21,85333.07,260.16,Cerah,Cerah
27.78,87.61,6619.19,306.94,Mendung,Berawan
25.21,87.8,1795.86,477.54,Hujan,Hujan
23.43,98.6,617.05,553.38,Hujan,Berawan
35.16,40.14,70644.84,392.19,Cerah,Cerah
26.08,74.88,2514.62,253.13,Mendung,Mendung
23.45,99.58,1928.65,276.25,Hujan,Mendung
30.89,59.95,56006.86,783.63,Cerah,Cerah
26.11,88.17,3156.06,201.43,Mendung,Mendung
24.21,93.89,253.62,358.76,Hujan,Mendung
29.47,67.65,29005.89,475.04,Berawan,Cerah
30.9,50.16,81748.77,700.85,Cerah,Cerah
22.07,92.68,530.34,551.62,Hujan,Mendung
32.39,50.36,90262.61,572.98,Cerah,Berawan
31.7,72.55,17738.25,561.99,Berawan,Mendung
33.1,45.22,99775.22,775.79,Cerah,Cerah
24.53,90.09,763.5,608.17,Hujan,Hujan
23.62,98.32,1716.76,754.94,Hujan,Hujan
24.43,85.14,292.8,564.45,Hujan,Berawan
23.22,92.28,952.01,796.12,Hujan,Mendung
22.95,89.88,1518.33,554.74,Hujan,Hujan
31.85,50.85,70528.84,545.43,Cerah,Cerah
31.89,62.86,36761.4,541.8,Berawan,Berawan
30.58,68.38,35925.03,261.13,Berawan,Berawan
22.1,94.68,436.51,758.32,Hujan,Hujan
35.3,54.95,97184.31,331.53,Cerah,Cerah
28.85,87.06,3650.04,369.57,Mendung,Hujan
23.94,90.59,849.91,690.95,Hujan,Hujan
28.39,67.3,39701.62,198.06,Berawan,Berawan
29.29,71.97,14098.64,596.24,Berawan,Berawan
31.24,71.2,36012.17,739.27,Berawan,Berawan
33.77,43.89,44256.46,377.75,Cerah,Cerah
26.35,77.51,1845.84,504.8,Mendung,Cerah
30.93,59.64,90336.01,702.28,Cerah,Cerah
31.29,62.2,13811.82,465.57,Berawan,Berawan
25.86,91.86,1699.84,236.07,Hujan,Mendung
27.55,84.52,9782.67,461.41,Mendung,Mendung
32.39,48.67,84642.56,275.6,Cerah,Cerah
31.34,68.92,22268.59,221.31,Berawan,Cerah
28.96,56.88,15485.98,754.23,Berawan,Berawan
34.43,51.09,76703.24,393.72,Cerah,Cerah
22.63,86.8,749.57,164.26,Hujan,Berawan
31.42,69.07,24225.21,168.48,Berawan,Berawan
26.39,79.29,6847.96,133.64,Mendung,Hujan
22.18,90.62,1289.13,452.2,Hujan,Hujan
34.1,52.32,96633.5,760.98,Cerah,Berawan
25.76,93.63,837.52,550.3,Hujan,Mendung
28.28,82.52,8383.84,556.04,Mendung,Berawan
30.42,42.02,41093.31,166.11,Cerah,Cerah
33.93,47.71,80896.82,338.44,Cerah,Cerah
25.47,83.93,6660.49,714.23,Mendung,Mendung
35.81,50.96,65408.26,497.96,Cerah,Cerah
26.65,77.44,7987.72,338.56,Mendung,Hujan
31.43,53.6,84394.53,266.77,Cerah,Cerah
33.03,56.53,59202.98,726.87,Cerah,Cerah
25.83,97.71,774.32,769.76,Hujan,Hujan
24.29,94.48,952.05,305.25,Hujan,Mendung
25.85,88.92,8031.66,179.43,Mendung,Hujan
28.23,65.99,23245.92,721.39,Berawan,Berawan
31.87,68.76,35108.92,706.81,Berawan,Mendung
30.8,56.46,34655.8,594.37,Berawan,Cerah
31.4,51.63,91788.31,716.25,Cerah,Cerah
28.94,85.07,4386.34,158.45,Mendung,Hujan
30.82,59.97,19907.58,404.12,Berawan,Cerah
29.87,56.13,13564.54,182.27,Berawan,Berawan
34.09,44.75,64013.37,434.4,Cerah,Cerah
31.34,59.26,40729.27,778.92,Cerah,Cerah
30.26,58.49,95146.94,277.09,Cerah,Cerah
33.14,52.59,81744.92,418.18,Cerah,Cerah
29.54,69.74,37457.63,771.09,Berawan,Cerah
29.82,67.4,18321.44,231.68,Berawan,Berawan
28.92,60.32,20810.35,281.96,Berawan,Berawan
27.14,76.19,8324.16,579.31,Mendung,Berawan
28.3,73.81,22499.17,506.81,Berawan,Mendung
31.73,72.32,11356.56,118.46,Berawan,Berawan
32.88,59.71,62604.34,624.7,Cerah,Cerah
28.37,86.77,5218.24,390.37,Mendung,Mendung
22.3,95.38,1115.26,624.94,Hujan,Hujan
28.08,88.9,8646.83,273.14,Mendung,Mendung
29.01,60.49,16216.83,714.75,Berawan,Berawan
29.43,57.27,30147.2,464.22,Berawan,Berawan
26.23,86.33,9711.76,161.89,Mendung,Hujan
30.8,40.58,85308.24,534.22,Cerah,Berawan
28.61,82.35,9824.16,525.66,Mendung,Mendung
26.75,88.08,4134.3,459.79,Mendung,Hujan
23.19,92.85,1425.52,657.53,Hujan,Mendung
32.95,45.16,67548.15,786.02,Cerah,Cerah
31.25,51.59,60493.79,476.08,Cerah,Cerah
22.61,87.08,1317.66,227.32,Hujan,Mendung
28.5,80.3,9757.99,521.35,Mendung,Berawan
31.01,45.57,50620.63,162.09,Cerah,Cerah
32.14,57.88,47724.9,331.07,Cerah,Cerah
31.2,67.56,12452.77,711.51,Berawan,Mendung
30.02,57.37,45071.02,518.09,Cerah,Mendung
26.48,79.69,6564.29,358.24,Mendung,Mendung
30.37,42.95,47987.02,581.02,Cerah,Berawan
27.13,72.14,5026.71,472.83,Mendung,Berawan
34.42,43.65,73837.91,688.5,Cerah,Cerah
28.48,72.81,27807.77,575.37,Berawan,Berawan
32.88,51.68,84209.35,490.42,Cerah,Cerah
22.51,89.26,789.86,552.14,Hujan,Hujan
23.99,89.96,1874.01,105.27,Hujan,Mendung
28.98,58.21,15597.01,299.57,Berawan,Cerah
28.37,71.03,1164.18,587.87,Mendung,Hujan
29.59,74.39,35965.21,671.95,Berawan,Cerah
24.89,97.31,1465.07,474.53,Hujan,Mendung
34.62,43.74,59420.75,397.81,Cerah,Cerah
33.18,54.14,86066.77,161.1,Cerah,Cerah
26.92,80.65,1466.41,335.62,Mendung,Berawan
27.2,74.03,7161.14,161.51,Mendung,Berawan
34.56,51.91,68294.57,388.29,Cerah,Cerah
35.1,54.92,64511.1,753.06,Cerah,Mendung
28.72,56.33,32233.62,502.13,Berawan,Mendung
25.31,96.26,1619.12,677.59,Hujan,Mendung
27.66,80.46,4229.47,714.04,Mendung,Mendung
23.81,95.71,1809.37,536.87,Hujan,Hujan
27.01,74.64,9096.17,368.72,Mendung,Mendung
22.92,93.14,919.9,332.97,Hujan,Hujan
28.56,70.88,28602.18,473.42,Berawan,Mendung
25.99,96.29,1443.26,645.0,Hujan,Mendung
24.28,96.44,1765.85,339.46,Hujan,Hujan
26.52,79.14,6435.62,451.6,Mendung,Mendung
31.38,54.45,83202.19,548.8,Cerah,Cerah
24.86,93.99,1670.92,771.35,Hujan,Mendung
29.6,64.24,38418.5,207.35,Berawan,Berawan
28.4,60.12,31782.87,515.07,Berawan,Cerah
24.79,98.84,1443.75,206.78,Hujan,Hujan
28.28,56.55,13127.41,688.31,Berawan,Mendung
30.68,59.7,90333.89,187.26,Cerah,Mendung
26.25,74.55,6471.05,365.51,Mendung,Mendung
31.21,55.09,20004.98,378.72,Berawan,Berawan
28.69,79.31,5327.53,742.92,Mendung,Mendung
